timestamp,request_count_mean,request_count_std,request_count_min,request_count_max,request_count_slope,request_count_spike,latency_jitter_ms_mean,latency_jitter_ms_std,latency_jitter_ms_min,latency_jitter_ms_max,latency_jitter_ms_slope,latency_jitter_ms_spike,cpu_burn_ms_mean,cpu_burn_ms_std,cpu_burn_ms_min,cpu_burn_ms_max,cpu_burn_ms_slope,cpu_burn_ms_spike,memory_leak_bytes_mean,memory_leak_bytes_std,memory_leak_bytes_min,memory_leak_bytes_max,memory_leak_bytes_slope,memory_leak_bytes_spike,label
2025-12-27T10:34:22.574450,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43835990014486,0.0,2.43835990014486,2.43835990014486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:34:29.643890,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43835990014486,0.0,2.43835990014486,2.43835990014486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:34:36.704590,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43835990014486,0.0,2.43835990014486,2.43835990014486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:34:43.785252,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43835990014486,0.0,2.43835990014486,2.43835990014486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:34:50.831083,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43835990014486,0.0,2.43835990014486,2.43835990014486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:34:57.889806,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43835990014486,0.0,2.43835990014486,2.43835990014486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:35:04.942085,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4495308334783963,0.03159617084930457,2.43835990014486,2.538898300146684,0.1005384000018239,0.08936746666828776,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-27T10:35:12.018828,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.471881900137911,0.06704860108689382,2.43835990014486,2.639519500080496,0.20115959993563592,0.16763759994258498,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-27T10:35:19.086227,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5163903223583475,0.13175541521092043,2.43835990014486,2.8389357001287863,0.4005757999839261,0.3225453777704388,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-27T10:35:26.172360,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5719792445759393,0.18277106303199914,2.43835990014486,2.938660200103186,0.5003002999583259,0.3666809555272468,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-12-27T10:35:33.231835,1.1111111111111112,0.3142696805273545,1.0,2.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,2.638614689025821,0.22609721876126562,2.43835990014486,3.0380789001937956,0.5997190000489354,0.3994642111679747,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:35:40.280085,1.2222222222222223,0.41573970964154905,1.0,2.0,1.0,0.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,2.705250133475703,0.24485521899123505,2.43835990014486,3.0380789001937956,0.5997190000489354,0.3328287667180927,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:35:47.334291,1.3333333333333333,0.4714045207910317,1.0,2.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.7718855779255844,0.24476037115686272,2.43835990014486,3.0380789001937956,0.5997190000489354,0.3335256777807243,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:35:54.401824,1.4444444444444444,0.4969039949999533,1.0,2.0,1.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,2.838521022375466,0.22578891778911153,2.43835990014486,3.0380789001937956,0.5997190000489354,0.40016112223060585,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:36:01.441142,1.5555555555555556,0.4969039949999533,1.0,2.0,1.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,2.905156466825348,0.18213474844148933,2.538898300146684,3.0380789001937956,0.4991806000471115,0.36625816667866395,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:36:08.489969,1.6666666666666667,0.4714045207910317,1.0,2.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.9606209779416934,0.1309767239720257,2.639519500080496,3.0380789001937956,0.3985594001132995,0.32110147786119736,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:36:15.542845,1.7777777777777777,0.41573970964154905,1.0,2.0,1.0,0.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,3.00490535573206,0.0663640930276525,2.8389357001287863,3.0380789001937956,0.1991432000650093,0.16596965560327392,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:36:22.616925,1.8888888888888888,0.3142696805273545,1.0,2.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,3.027032377961506,0.031244283115920708,2.938660200103186,3.0380789001937956,0.09941870009060949,0.08837217785831974,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:36:29.664874,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:36:36.732214,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:36:43.782778,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:36:50.821359,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:36:57.870763,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:37:04.905910,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:37:11.952066,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:37:19.020185,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:37:26.057062,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:37:33.093960,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:37:40.179155,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:37:47.255824,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:37:54.283744,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:38:01.342772,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:38:08.385087,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2025-12-27T10:38:15.464377,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0380789001937956,0.0,3.0380789001937956,3.0380789001937956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
